Libellé;;Emplois salariés trimestriels - Industrie - Sections B, C, D et E - CVS;Codes;Emplois salariés trimestriels - Construction - Section F - CVS;Codes;Emplois salariés trimestriels - Tertiaire marchand - Sections G, H, I, J, K, L, M, N, R, S, T - CVS;Codes;Emplois salariés trimestriels - Industries extractives, énergie, eau, gestion des déchets et dépollution - A17 : DE - CVS;Codes;Emplois salariés trimestriels - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac - A17 : C1 - CVS;Codes;Emplois salariés trimestriels - Cokéfaction et raffinage - A17 : C2 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'équipements électriques, électroniques, informatiques, fabrication de machines - A17 : C3 - CVS;Codes;Emplois salariés trimestriels - Fabrication de matériels de transport - A17 : C4 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'autres produits industriels - A17 : C5 - CVS;Codes;Emplois salariés trimestriels - Construction - A17 : FZ - CVS;Codes;
IdBank;;001577235;;001577236;;001577237;;001577241;;001577242;;001577243;;001577244;;001577245;;001577246;;001577247;;
Année;Trimestre;
1992;T2;4 399,9;A;1 360,9;A;8 381,8;A;329,1;A;566,3;A;19,0;A;642,7;A;457,8;A;2 385,0;A;1 360,9;A;
1992;T1;4 440,5;A;1 378,2;A;8 361,0;A;330,8;A;568,9;A;19,2;A;649,4;A;462,5;A;2 409,7;A;1 378,2;A;
1991;T4;4 474,4;A;1 387,2;A;8 342,8;A;330,7;A;570,9;A;19,3;A;656,4;A;465,6;A;2 431,4;A;1 387,2;A;
1991;T3;4 504,8;A;1 395,7;A;8 314,5;A;329,7;A;572,0;A;19,1;A;663,3;A;468,5;A;2 452,2;A;1 395,7;A;
1991;T2;4 535,9;A;1 404,7;A;8 294,4;A;330,1;A;573,1;A;19,4;A;666,3;A;473,4;A;2 473,6;A;1 404,7;A;
1991;T1;4 566,4;A;1 409,7;A;8 312,1;A;330,6;A;573,7;A;19,8;A;669,9;A;476,7;A;2 495,7;A;1 409,7;A;
1990;T4;4 591,5;A;1 413,1;A;8 288,0;A;331,0;A;574,4;A;20,1;A;669,5;A;481,7;A;2 514,9;A;1 413,1;A;
1990;T3;4 603,1;A;1 409,5;A;8 261,8;A;331,7;A;575,3;A;20,4;A;668,3;A;484,6;A;2 522,9;A;1 409,5;A;
1990;T2;4 616,0;A;1 413,1;A;8 247,6;A;332,8;A;576,1;A;20,7;A;666,2;A;485,0;A;2 535,2;A;1 413,1;A;
1990;T1;4 609,0;A;1 410,2;A;8 191,8;A;333,0;A;575,7;A;20,9;A;661,5;A;485,0;A;2 532,9;A;1 410,2;A;
1989;T4;4 595,5;A;1 404,5;A;8 149,4;A;333,3;A;574,5;A;21,1;A;655,9;A;484,3;A;2 526,3;A;1 404,5;A;
1989;T3;4 589,7;A;1 388,2;A;8 051,0;A;332,1;A;577,4;A;21,5;A;657,2;A;482,7;A;2 518,7;A;1 388,2;A;
1989;T2;4 573,8;A;1 378,5;A;8 011,0;A;331,7;A;574,3;A;21,7;A;649,8;A;481,5;A;2 514,8;A;1 378,5;A;
1989;T1;4 552,1;A;1 367,0;A;7 960,6;A;331,7;A;572,5;A;22,0;A;641,8;A;479,5;A;2 504,6;A;1 367,0;A;
1988;T4;4 538,5;A;1 357,4;A;7 876,3;A;330,9;A;572,6;A;22,3;A;641,7;A;477,9;A;2 493,1;A;1 357,4;A;
1988;T3;4 540,3;A;1 345,8;A;7 792,7;A;330,4;A;573,3;A;22,6;A;642,7;A;478,5;A;2 492,9;A;1 345,8;A;
1988;T2;4 538,9;A;1 334,4;A;7 727,9;A;330,2;A;571,9;A;22,9;A;641,1;A;479,8;A;2 493,1;A;1 334,4;A;
1988;T1;4 540,9;A;1 321,9;A;7 678,7;A;330,3;A;571,6;A;23,2;A;639,9;A;480,8;A;2 495,2;A;1 321,9;A;
1987;T4;4 549,2;A;1 316,1;A;7 607,7;A;330,3;A;571,5;A;23,6;A;643,0;A;480,9;A;2 500,0;A;1 316,1;A;
1987;T3;4 576,7;A;1 315,5;A;7 551,6;A;330,6;A;573,3;A;23,9;A;647,3;A;484,7;A;2 516,9;A;1 315,5;A;
1987;T2;4 604,3;A;1 307,6;A;7 515,1;A;330,7;A;573,6;A;24,2;A;652,0;A;490,7;A;2 533,2;A;1 307,6;A;
1987;T1;4 624,4;A;1 297,6;A;7 458,2;A;330,7;A;572,7;A;24,5;A;657,0;A;492,9;A;2 546,6;A;1 297,6;A;
1986;T4;4 652,0;A;1 296,8;A;7 426,3;A;330,6;A;573,1;A;24,8;A;663,0;A;497,6;A;2 562,9;A;1 296,8;A;
1986;T3;4 685,0;A;1 297,8;A;7 416,0;A;330,9;A;571,2;A;25,1;A;670,6;A;503,4;A;2 583,7;A;1 297,8;A;
1986;T2;4 712,9;A;1 291,6;A;7 391,5;A;332,0;A;572,7;A;25,7;A;675,4;A;508,7;A;2 598,4;A;1 291,6;A;
1986;T1;4 731,3;A;1 283,5;A;7 357,3;A;331,5;A;572,1;A;25,9;A;679,3;A;513,2;A;2 609,3;A;1 283,5;A;
1985;T4;4 751,4;A;1 281,9;A;7 328,7;A;332,6;A;572,1;A;26,4;A;682,2;A;517,7;A;2 620,4;A;1 281,9;A;
1985;T3;4 767,1;A;1 286,2;A;7 285,7;A;332,5;A;571,4;A;26,7;A;684,2;A;522,5;A;2 629,8;A;1 286,2;A;
1985;T2;4 794,7;A;1 288,0;A;7 257,2;A;332,5;A;570,9;A;27,0;A;689,0;A;528,4;A;2 646,8;A;1 288,0;A;
1985;T1;4 827,3;A;1 293,1;A;7 228,7;A;332,6;A;573,0;A;27,3;A;693,6;A;535,1;A;2 665,8;A;1 293,1;A;
1984;T4;4 865,0;A;1 301,4;A;7 203,5;A;332,7;A;575,0;A;27,6;A;699,7;A;542,6;A;2 687,3;A;1 301,4;A;
1984;T3;4 899,1;A;1 311,6;A;7 211,7;A;333,2;A;576,6;A;28,0;A;704,6;A;550,3;A;2 706,4;A;1 311,6;A;
1984;T2;4 929,8;A;1 331,9;A;7 200,0;A;333,7;A;576,3;A;28,5;A;709,7;A;555,6;A;2 726,0;A;1 331,9;A;
1984;T1;4 970,7;A;1 358,9;A;7 205,6;A;333,8;A;576,4;A;28,7;A;716,6;A;562,1;A;2 753,1;A;1 358,9;A;
1983;T4;5 009,3;A;1 386,1;A;7 206,2;A;334,0;A;576,2;A;29,0;A;722,8;A;570,3;A;2 777,0;A;1 386,1;A;
1983;T3;5 042,6;A;1 409,2;A;7 198,9;A;333,4;A;576,0;A;29,2;A;729,1;A;573,5;A;2 801,4;A;1 409,2;A;
1983;T2;5 065,5;A;1 432,4;A;7 176,2;A;332,6;A;573,1;A;29,2;A;733,3;A;577,6;A;2 819,6;A;1 432,4;A;
1983;T1;5 097,1;A;1 457,6;A;7 151,9;A;331,9;A;571,7;A;29,3;A;739,8;A;581,2;A;2 843,1;A;1 457,6;A;
1982;T4;5 133,6;A;1 478,0;A;7 127,5;A;330,6;A;571,9;A;29,2;A;747,5;A;583,2;A;2 871,1;A;1 478,0;A;
1982;T3;5 154,5;A;1 494,5;A;7 105,1;A;328,4;A;572,9;A;28,9;A;751,9;A;584,7;A;2 887,8;A;1 494,5;A;
1982;T2;5 171,1;A;1 509,0;A;7 067,3;A;325,7;A;569,3;A;28,5;A;756,4;A;589,4;A;2 901,8;A;1 509,0;A;
1982;T1;5 156,2;A;1 517,2;A;7 009,5;A;322,6;A;564,7;A;28,0;A;754,4;A;587,3;A;2 899,2;A;1 517,2;A;
1981;T4;5 160,1;A;1 531,8;A;6 984,1;A;320,4;A;566,1;A;27,8;A;753,2;A;587,2;A;2 905,6;A;1 531,8;A;
1981;T3;5 167,3;A;1 538,2;A;6 910,8;A;318,8;A;561,6;A;27,7;A;753,8;A;589,7;A;2 915,7;A;1 538,2;A;
1981;T2;5 209,5;A;1 554,2;A;6 920,4;A;317,9;A;563,9;A;27,7;A;759,9;A;594,2;A;2 945,9;A;1 554,2;A;
1981;T1;5 267,8;A;1 571,4;A;6 939,7;A;317,6;A;564,6;A;27,8;A;768,9;A;603,8;A;2 985,1;A;1 571,4;A;
