BRANCHE;ENERGIE;USAGE;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Santé Action Sociale;Fioul;Chauffage;5193;5135;5410;5470;5385;5111;5025;4956;5151;4842;4665;4594;4334;4157;3929;3634;3410;3212;3097;2985;2941
Santé Action Sociale;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santé Action Sociale;Fioul;Cuisson;19;19;19;19;19;19;19;18;18;17;17;16;15;15;14;13;13;12;12;12;11
Santé Action Sociale;Fioul;ECS;803;807;819;810;815;791;759;714;713;698;678;669;643;627;614;588;576;564;553;550;543
Santé Action Sociale;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santé Action Sociale;Gaz;Autres usages thermiques;514;537;561;561;561;561;561;561;561;561;561;561;561;561;561;561;561;561;561;561;561
Santé Action Sociale;Gaz;Chauffage;5000;5120;5161;5434;5646;5863;5763;6038;6221;6138;6264;6484;6590;6807;6837;6923;6994;6977;7142;7090;7210
Santé Action Sociale;Gaz;Climatisation;16;19;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22
Santé Action Sociale;Gaz;Cuisson;541;541;547;549;565;600;603;606;607;614;601;612;617;618;618;621;616;614;611;610;606
Santé Action Sociale;Gaz;ECS;1569;1606;1563;1599;1663;1750;1825;1929;1967;2022;2056;2117;2203;2244;2267;2310;2334;2359;2370;2379;2395
Santé Action Sociale;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santé Action Sociale;Autres comb.;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santé Action Sociale;Autres comb.;Chauffage;1866;1864;1906;1846;1822;1884;1925;2095;1849;1822;1819;1773;1789;1892;1927;1923;1894;1855;1909;1931;1973
Santé Action Sociale;Autres comb.;Climatisation;34;39;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
Santé Action Sociale;Autres comb.;Cuisson;184;184;181;178;178;158;155;161;159;158;154;149;140;141;140;138;136;133;132;133;132
Santé Action Sociale;Autres comb.;ECS;411;418;428;432;437;457;456;450;454;459;458;452;441;455;473;493;504;524;543;556;570
Santé Action Sociale;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Electricité;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Electricité;Chauffage;1173;1176;1178;1252;1264;1287;1245;1275;1165;1175;1196;1258;1258;1292;1312;1324;1346;1357;1363;1391;1414
Sport Loisir Culture;Electricité;Climatisation;565;577;604;620;648;730;754;780;789;825;852;895;943;973;984;994;1016;1040;1069;1093;1111
Sport Loisir Culture;Electricité;Cuisson;135;142;148;148;149;172;174;176;172;170;167;167;162;162;161;162;160;160;156;156;155
Sport Loisir Culture;Electricité;ECS;860;891;919;915;934;921;983;1010;1011;1022;1030;1055;1061;1079;1094;1109;1121;1138;1147;1161;1171
Sport Loisir Culture;Electricité;Electricité spécifique;2226;2295;2509;2555;2624;2750;2888;3040;3058;3104;3151;3223;3289;3332;3350;3396;3392;3385;3401;3442;3447
Sport Loisir Culture;Fioul;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Fioul;Chauffage;1993;1982;2046;1989;2089;2047;2058;2049;1988;1999;1898;1819;1702;1541;1446;1422;1290;1201;1118;1089;1027
Sport Loisir Culture;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Fioul;Cuisson;2,9;2,9;2,9;1,9;1,9;1,9;1,9;1,9;1,9;1,9;1,9;1,9;1,8;1,7;1,8;2;1,8;1,8;1,7;1,7;1,6
Sport Loisir Culture;Fioul;ECS;431;439;473;474;487;496;488;493;495;496;497;481;457;416;405;410;388;379;364;355;340
Sport Loisir Culture;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Gaz;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Gaz;Chauffage;3421;3541;3810;3989;4123;4556;4943;5051;4906;4941;4957;5134;5265;5378;5419;5415;5387;5344;5380;5494;5497
Sport Loisir Culture;Gaz;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Gaz;Cuisson;122;131;148;148;148;152;151;150;149;149;148;148;146;144;142;143;140;139;136;135;134
Sport Loisir Culture;Gaz;ECS;1340;1489;1729;1737;1793;1987;2035;2137;2194;2260;2313;2414;2509;2532;2575;2593;2590;2598;2581;2583;2592
Sport Loisir Culture;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Autres comb.;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sport Loisir Culture;Autres comb.;Chauffage;378;389;395;366;377;378;376;402;394;412;419;429;436;446;442;433;430;429;427;434;429
Sport Loisir Culture;Autres comb.;Climatisation;12;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
