ID_AGREG;EXIGENCE;GESTE;GAIN;COUT;CEE
0102841102;BBC renovation;FEN_MURBBC;0.681531409;440.6976;459.7158
0102841102;RT par element;FEN_MURMOD;0;0;0
0102841102;BBC renovation;ENSBBC;0.788809501;524.4682371;459.7158
0102841102;RT par element;ENSMOD;0;0;0
0102841703;BBC renovation;FENBBC;0.510149737;125.9136;459.7158
0102841703;RT par element;FENMOD;0;0;0
0102841703;BBC renovation;FEN_MURBBC;0.714209632;153.19488;906.9714
0102841703;RT par element;FEN_MURMOD;0.50732692;25.18272;0
0102841703;BBC renovation;ENSBBC;0.944721735;240.9668052;3550.7214
0102841703;RT par element;ENSMOD;0.603960619;35.41917666;0
0102841904;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0102841904;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0102841904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0102842005;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0102842005;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0102842005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0102842106;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0102842106;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0102842106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0102842207;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0102842207;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0102842207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0102842308;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0102842308;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0102842308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0102850701;BBC renovation;FENBBC;0.483572287;173.0810766;631.9262224
0102850701;RT par element;FENMOD;0;0;0
0102850701;BBC renovation;FEN_MURBBC;0.677001201;210.5819765;1246.72463
0102850701;RT par element;FEN_MURMOD;0;0;0
0102850701;BBC renovation;ENSBBC;0.895504235;294.262107;5215.47463
0102850701;RT par element;ENSMOD;0;0;0
0102851102;BBC renovation;FENBBC;0.375070123;302.8918841;631.9262224
0102851102;RT par element;FENMOD;0;0;0
0102851102;BBC renovation;FEN_MURBBC;0.679372298;605.7837681;631.9262224
0102851102;RT par element;FEN_MURMOD;0;0;0
0102851102;BBC renovation;ENSBBC;0.786310531;689.5997802;631.9262224
0102851102;RT par element;ENSMOD;0;0;0
0102851703;BBC renovation;FENBBC;0.50999536;144.2342305;631.9262224
0102851703;RT par element;FENMOD;0;0;0
0102851703;BBC renovation;FEN_MURBBC;0.713993504;181.7351304;1246.72463
0102851703;RT par element;FEN_MURMOD;0.551335644;34.61621532;0
0102851703;BBC renovation;ENSBBC;0.944435852;269.2392936;3890.47463
0102851703;RT par element;ENSMOD;0.656351957;44.61983542;0
0102851904;BBC renovation;ENSBBC;0.380351815;159.5413975;631.9262224
