BRANCHE;SS_BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;ID_AGREG;PERIODE;RDT;COUT;CEE
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Rooftop;Electricité;0218201002;1;2.804101953;24.30961125;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Autres;0218202101;1;0.80649954;23.61087187;119
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Urbain;0218202106;1;0.708578579;23.80388897;1815
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière condensation fioul;Fioul;0218202303;1;0.753837866;14.75095851;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière condensation gaz;Gaz;0218202404;1;0.981434951;10.75160336;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Electrique direct performant;Electricité;0218202602;1;1;12;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;PAC performant;Electricité;0218202902;1;3.397956279;63.54325038;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Rooftop performant;Electricité;0218203002;1;3.328610233;28.9400134;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Autre système centralisé;Autres;0218210101;1;0.719745101;18.76750666;128.8
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Autre système centralisé;Urbain;0218210106;1;0.64687899;18.86339002;2011.428571
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Chaudière fioul;Fioul;0218210303;1;0.58136598;11.17405458;1048
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Chaudière gaz;Gaz;0218210404;1;0.682512226;8.191365424;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Electrique direct;Electricité;0218210602;1;0.92;10.4;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;PAC;Electricité;0218210902;1;2.944895442;51.03880049;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Rooftop;Electricité;0218211002;1;2.804101953;22.6394502;1312.5
