BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Commerce;Grand librairie;Autre système centralisé performant;Urbain;32.88077718;25;76.0973368;1.882488366;9.994E-05;0.0616
Commerce;Grand librairie;Chaudière condensation fioul;Fioul;18.11203177;20;74.06698981;0.75886589;9.994E-05;0.074414716
Commerce;Grand librairie;Chaudière condensation gaz;Gaz;13.33211762;20;75.718178;0.986637569;9.994E-05;0.0513
Sport Loisir Culture;Petit cinéma;Autre système centralisé;Urbain;50.17757949;25;173.5210618;2.013507792;0.087471378;0.0616
Santé Action Sociale;Hopital bloc;Electrique direct;Electricité;10;13;107.8303606;0.895022357;0.148306478;0.0774
Café Hôtel Restaurant;Petit restaurant rapide;Rooftop;Electricité;133.0574;17;120.3249358;2.672974884;0.114952319;0.0774
Commerce;Grand librairie;Electrique direct performant;Electricité;12;13;76.821078;1;9.994E-05;0.0774
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;PAC;Electricité;77.41722944;20;121.6789782;2.831630233;0.112099331;0.0774
Commerce;Grand librairie;PAC performant;Electricité;90.893407;20;71.7924476;3.397956279;9.994E-05;0.0774
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;PAC;Electricité;70.98456377;20;107.4122491;2.831630233;0.138774871;0.0774
Sport Loisir Culture;Grande salle multisport;Chaudière fioul;Fioul;8.910820382;20;38.9264275;0.681261085;0.012613842;0.074414716
Commerce;Grand Mode;Autre système centralisé performant;Autres;33.01931454;25;71.50102182;1.86775113;9.994E-05;0.015468227
Commerce;Grand Mode;Autre système centralisé performant;Urbain;32.99819046;25;74.80677768;1.884708399;9.994E-05;0.0616
Commerce;Grand Mode;Chaudière condensation fioul;Fioul;18.13100726;20;74.52227668;0.758876621;9.994E-05;0.074414716
Commerce;Grand Mode;Chaudière condensation gaz;Gaz;13.3123889;20;77.09330194;0.986623667;9.994E-05;0.0513
Commerce;Superette;PAC;Electricité;84.87558867;20;82.88495205;2.831630233;0.119665339;0.0774
Sport Loisir Culture;Grand cinéma;Cassette rayonnante;Electricité;10;10;66.03033194;0.8;0.126239139;0.0774
Sport Loisir Culture;Petite salle de spectacle;PAC;Electricité;65.35542582;20;139.5483581;2.842911628;0.128492947;0.0774
Commerce;Grand Mode;Electrique direct performant;Electricité;12;13;77.60909072;1;9.994E-05;0.0774
Café Hôtel Restaurant;Grande cantine;Electrique direct;Electricité;10;13;69.85722685;0.9;0.14604772;0.0774
Commerce;Grand Mode;PAC performant;Electricité;90.92541149;20;72.52050505;3.397956279;9.994E-05;0.0774
Enseignement Recherche;Cantine LEGT;Chaudière fioul;Fioul;28.45830055;20;297.2814798;0.731660293;0.022547936;0.074414716
Enseignement Recherche;Internat LP;Autre système centralisé;Autres;17.66632459;25;127.0757617;0.882168666;0.091329244;0.015468227
Commerce;Grand process;Autre système centralisé performant;Autres;35.33447275;25;99.25944733;1.859905495;9.994E-05;0.015468227
Commerce;Grand process;Autre système centralisé performant;Urbain;35.36004485;25;100.6923106;1.923980019;9.994E-05;0.0616
Commerce;Grand process;Chaudière condensation fioul;Fioul;18.97891974;20;99.85361829;0.759143864;9.994E-05;0.074414716
Commerce;Grand process;Chaudière condensation gaz;Gaz;13.99645478;20;100.8616688;0.986925401;9.994E-05;0.0513
Bureaux Administration;plateau mince;Autre système centralisé;Urbain;19.8937807;25;105.4664931;0.65238164;0.092374158;0.0616
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;PAC;Electricité;109.5824113;20;178.7197853;2.831630233;0.142953048;0.0774
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chaudière fioul;Fioul;10.68094241;20;67.6814564;0.40656838;0.018637829;0.074414716
Commerce;Grand process;Electrique direct performant;Electricité;12;13;103.435331;1;9.994E-05;0.0774
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;PAC;Electricité;49.81914536;20;74.20836655;2.831630233;0.129406286;0.0774
Commerce;Grand process;PAC performant;Electricité;97.6654858;20;97.20448989;3.397956279;9.994E-05;0.0774
Sport Loisir Culture;Salle non spécialisée;Cassette rayonnante;Electricité;10;10;65.59763578;0.8;0.11535751;0.0774
Café Hôtel Restaurant;Petit restaurant traditionnel;Rooftop;Electricité;133.0574;17;123.3511515;2.672974884;0.129820187;0.0774
Commerce;Hypermarché;Autre système centralisé performant;Autres;39.66556907;25;111.2879707;1.870742069;9.994E-05;0.015468227
Commerce;Hypermarché;Autre système centralisé performant;Urbain;40.36256567;25;115.5081553;1.844152045;9.994E-05;0.0616
Commerce;Hypermarché;Chaudière condensation fioul;Fioul;10.8487115;20;113.0967669;0.761583139;9.994E-05;0.074414716
Commerce;Hypermarché;Chaudière condensation gaz;Gaz;8.142118579;20;111.5550674;0.989367103;9.994E-05;0.0513
Sport Loisir Culture;Grande salle multisport;Autre système centralisé;Autres;19.74161016;25;32.136535;1.653734848;0.095277192;0.015468227
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;PAC;Electricité;82.69353343;20;130.899734;2.831630233;0.100171907;0.0774
Santé Action Sociale;Garderie;Autre système centralisé;Urbain;12.98587506;25;91.58374649;0.735230585;0.0965908;0.0616
Commerce;Hypermarché;Electrique direct performant;Electricité;12;13;113.8064527;1;9.994E-05;0.0774
Santé Action Sociale;Hopital pavillonnaire;Autre système centralisé;Urbain;18.24332526;25;173.7150879;0.746529216;0.097066794;0.0616
Commerce;Hypermarché;Rooftop performant;Electricité;44.99797385;17;107.6745541;3.328610233;9.994E-05;0.0774
Sport Loisir Culture;Grand cinéma;Electrique direct;Electricité;10;13;59.0797914;0.9;0.13490456;0.0774
