BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Commerce;Complexe brico;Auxiliaires;28.67;20.07;10.03;10.03;10.03;10.03
Commerce;Entrepôt;Auxiliaires;16.02;11.21;5.61;5.61;5.61;5.61
Commerce;Grand alimentaire;Auxiliaires;3.97;2.78;1.39;1.39;1.39;1.39
Commerce;Grand brico;Auxiliaires;41.89;29.32;14.66;14.66;14.66;14.66
Commerce;Grand commerce de gros;Auxiliaires;28.49;19.95;9.97;9.97;9.97;9.97
Commerce;Grand librairie;Auxiliaires;1.6;1.12;0.56;0.56;0.56;0.56
Commerce;Grand Mode;Auxiliaires;1.6;1.12;0.56;0.56;0.56;0.56
Commerce;Grand process;Auxiliaires;0.85;0.59;0.3;0.3;0.3;0.3
Commerce;Hypermarché;Auxiliaires;55.49;38.84;19.42;19.42;19.42;19.42
Commerce;Petit boulangerie;Auxiliaires;1.88;1.31;0.66;0.66;0.66;0.66
Commerce;Petit brico;Auxiliaires;1.46;1.02;0.51;0.51;0.51;0.51
Commerce;Petit commerce de gros;Auxiliaires;27.09;18.96;9.48;9.48;9.48;9.48
Commerce;Petit librairie;Auxiliaires;1.22;0.86;0.43;0.43;0.43;0.43
Commerce;Petit mode;Auxiliaires;1.49;1.05;0.52;0.52;0.52;0.52
Commerce;Petit poissonnerie;Auxiliaires;1.3;0.91;0.46;0.46;0.46;0.46
Commerce;Petit process;Auxiliaires;0.82;0.57;0.29;0.29;0.29;0.29
Commerce;Superette;Auxiliaires;2.85;2;1;1;1;1
Commerce;Supermarché;Auxiliaires;56.51;39.56;19.78;19.78;19.78;19.78
Commerce;ZAC Mode;Auxiliaires;46.5;32.55;16.28;16.28;16.28;16.28
Enseignement Recherche;Cantine collége;Auxiliaires;1.18;0.83;0.41;0.41;0.41;0.41
Enseignement Recherche;Cantine élémentaire;Auxiliaires;1.07;0.75;0.37;0.37;0.37;0.37
Enseignement Recherche;Cantine LEGT;Auxiliaires;1.25;0.88;0.44;0.44;0.44;0.44
Enseignement Recherche;Cantine LP;Auxiliaires;1.19;0.83;0.42;0.42;0.42;0.42
Enseignement Recherche;Cantine préélémentaire;Auxiliaires;1.06;0.74;0.37;0.37;0.37;0.37
Enseignement Recherche;Collège;Auxiliaires;0.15;0.11;0.05;0.05;0.05;0.05
Enseignement Recherche;école;Auxiliaires;0.52;0.37;0.18;0.18;0.18;0.18
Enseignement Recherche;Elémentaire;Auxiliaires;0.05;0.04;0.02;0.02;0.02;0.02
Enseignement Recherche;Internat college;Auxiliaires;0.48;0.33;0.17;0.17;0.17;0.17
Enseignement Recherche;Internat LEGT;Auxiliaires;0.48;0.34;0.17;0.17;0.17;0.17
Enseignement Recherche;Internat LP;Auxiliaires;0.5;0.35;0.17;0.17;0.17;0.17
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Auxiliaires;0.17;0.12;0.06;0.06;0.06;0.06
Enseignement Recherche;Lycée professionnel (LP);Auxiliaires;0.16;0.11;0.06;0.06;0.06;0.06
