BRANCHE,SS_BRANCHE,BAT_TYPE,PRODUCTION_CHAUD,ENERGIE,ID_AGREG,PERIODE,RDT,COUT,CEE
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Rooftop,Electricité,0218201002,1,"2,8041019535","24,3096112545",738
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Autre système centralisé performant,Autres,0218202101,1,"0,8064995396","23,6108718734",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Autre système centralisé performant,Urbain,0218202106,1,"0,7085785794","23,8038889688",935
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Chaudière condensation fioul,Fioul,0218202303,1,"0,7538378658","14,7509585071",1064
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Chaudière condensation gaz,Gaz,0218202404,1,"0,9814349505","10,7516033617",1064
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Electrique direct performant,Electricité,0218202602,1,1,12,0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,PAC performant,Electricité,0218202902,1,"3,3979562791","63,5432503823",792
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Bas de gamme,Rooftop performant,Electricité,0218203002,1,"3,3286102326","28,9400133982",792
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Autre système centralisé,Autres,0218210101,1,"0,7197451011","18,7675066576",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Autre système centralisé,Urbain,0218210106,1,"0,6468789902","18,8633900219",935
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Chaudière fioul,Fioul,0218210303,1,"0,5813659798","11,1740545787",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Chaudière gaz,Gaz,0218210404,1,"0,6825122261","8,1913654243",462
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Electrique direct,Electricité,0218210602,1,"0,92","10,4",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,PAC,Electricité,0218210902,1,"2,9448954419","51,0388004946",738
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Rooftop,Electricité,0218211002,1,"2,8041019535","22,6394501995",738
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Autre système centralisé performant,Autres,0218212101,1,"0,8304751167","22,3422698304",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Autre système centralisé performant,Urbain,0218212106,1,"0,7463988349","22,4564166927",935
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Chaudière condensation fioul,Fioul,0218212303,1,"0,7583524051","13,302445927",1064
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Chaudière condensation gaz,Gaz,0218212404,1,"0,9822989204","9,7516255051",1064
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Electrique direct performant,Electricité,0218212602,1,1,12,0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,PAC performant,Electricité,0218212902,1,"3,3979562791","60,7604767793",792
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Haut de gamme,Rooftop performant,Electricité,0218213002,1,"3,3286102326","26,951726428",792
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Autre système centralisé,Autres,0218220101,1,"0,7086552297","24,4359131267",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Autre système centralisé,Urbain,0218220106,1,"0,6838556467","24,5521564118",935
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Chaudière fioul,Fioul,0218220303,1,"0,5747533947","11,0427501724",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Chaudière gaz,Gaz,0218220404,1,"0,6904579686","8,2189953073",462
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Electrique direct,Electricité,0218220602,1,"0,92","10,4",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,PAC,Electricité,0218220902,1,"2,9448954419","67,9080410677",738
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Rooftop,Electricité,0218221002,1,"2,8041019535","28,3844225403",738
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Autre système centralisé performant,Autres,0218222101,1,"0,8176791112","29,0903727699",0
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Autre système centralisé performant,Urbain,0218222106,1,"0,7890642077","29,2287576331",935
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Chaudière condensation fioul,Fioul,0218222303,1,"0,7624986598","13,1461311576",1064
Café Hôtel Restaurant,Hôtel avec restaurant,Grand Hotel avec restaurant Luxe,Chaudière condensation gaz,Gaz,0218222404,1,"0,9900946398","9,784518223",1064
