BRANCHE;SS_BRANCHE;BAT_TYPE;BRANCHE;SS_BRANCHE;BAT_TYPE;ID;SURFACE;taille bâtiment;Type facteur correctif;puissance;nb_etages_moy;taux_vitrage;hauteur étage;Smur/Spl;Sfen/Spl;Stoit/Spl;Splancher/Spl;Smur;Sfen;Stoit;Splancher;Smur/Sparois;Sfen/Sparois;Stoit/Sparois;Splancher/Sparois;FEN;FEN_MUR;ENS
Commerce;Grand commerce alimentaire;Superette;03;16;92;031692;118;<5000m2;commerces;P<30kW;1;0,1;3;0,994220587330189;0,110468954147799;1;1;117,318029304962;13,0353365894403;118;118;0,320231886005868;0,0355813206673187;0,322093396663407;0,322093396663407;0,0355813206673187;0,355813206673187;1
Commerce;Grand commerce alimentaire;Supermarché;03;16;93;031693;1406;<5000m2;commerces;P>=30kW;1;0,1;3;0,288025603413839;0,0320028448237599;1;1;404,963998399858;44,9959998222064;1406;1406;0,124147444671481;0,0137941605190534;0,431029197404733;0,431029197404733;0,0137941605190534;0,137941605190534;1
Commerce;Petit commerce alimentaire;Petit boulangerie;03;23;63;032363;63;<5000m2;commerces;P<30kW;1;0,2;3;1,20948631362953;0,302371578407382;1;1;76,1976377586602;19,0494094396651;63;63;0,344400699234448;0,0861001748086121;0,28474956297847;0,28474956297847;0,0861001748086121;0,43050087404306;1
Commerce;Petit commerce alimentaire;Petit librairie;03;23;73;032373;62;<5000m2;commerces;P<30kW;1;0,2;3;1,21920121920183;0,304800304800457;1;1;75,5904755905134;18,8976188976284;62;62;0,34597068443295;0,0864926711082374;0,283768322229406;0,283768322229406;0,0864926711082374;0,432463355541187;1
Commerce;Petit commerce alimentaire;Petit poissonnerie;03;23;75;032375;63;<5000m2;commerces;P<30kW;1;0,2;3;1,20948631362953;0,302371578407382;1;1;76,1976377586602;19,0494094396651;63;63;0,344400699234448;0,0861001748086121;0,28474956297847;0,28474956297847;0,0861001748086121;0,43050087404306;1
Commerce;Process;Grand librairie;03;24;26;032426;184;<5000m2;autres secteurs;P<30kW;3;0,1;3;1,37903557982917;0,153226175536575;0,333333333333333;0,333333333333333;253,742546688568;28,1936162987298;61,3333333333333;61,3333333333333;0,627139822293335;0,0696822024770373;0,151588987614814;0,151588987614814;0,0696822024770373;0,696822024770373;1
Commerce;Process;Grand process;03;24;28;032428;1294;<5000m2;autres secteurs;P>=30kW;3;0,1;3;0,520016644603426;0,0577796271781584;0,333333333333333;0,333333333333333;672,901538116833;74,766837568537;431,333333333333;431,333333333333;0,41786430799767;0,0464293675552967;0,267853162223516;0,267853162223516;0,0464293675552967;0,464293675552967;1
Commerce;Process;Petit process;03;24;76;032476;83;<5000m2;autres secteurs;P<30kW;1;0,2;3;1,05373689590103;0,263434223975257;1;1;87,4601623597853;21,8650405899463;83;83;0,317661301699843;0,0794153254249608;0,301461686437598;0,301461686437598;0,0794153254249608;0,397076627124804;1
Enseignement Recherche;Enseignement primaire;Cantine élémentaire;04;09;03;040903;75;<5000m2;enseignement;P<30kW;1;0,3;3;0,969948452238571;0,415692193816531;1;1;72,7461339178928;31,1769145362398;75;75;0,286488896383242;0,122780955592818;0,29536507401197;0,29536507401197;0,122780955592818;0,409269851976059;1
Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;04;09;06;040906;97;<5000m2;enseignement;P<30kW;1;0,3;3;0,85289077871224;0,365524619448103;1;1;82,7304055350873;35,455888086466;97;97;0,265003324058092;0,113572853167754;0,310711911387077;0,310711911387077;0,113572853167754;0,378576177225846;1
Enseignement Recherche;Enseignement primaire;Elémentaire;04;09;11;040911;897;<5000m2;enseignement;P>=30kW;2;0,3;3;0,396641418305904;0,169989179273959;0,5;0,5;355,787352220396;152,480293808741;448,5;448,5;0,253181202332341;0,108506229571003;0,319156284048328;0,319156284048328;0,108506229571003;0,361687431903345;1
Enseignement Recherche;Enseignement primaire;Préélémentaire;04;09;86;040986;1190;<5000m2;enseignement;P>=30kW;2;0,3;3;0,344366425910131;0,147585611104342;0,5;0,5;409,796046833056;175,626877214167;595;595;0,230816016444629;0,0989211499048412;0,335131416825265;0,335131416825265;0,0989211499048412;0,329737166349471;1
Enseignement Recherche;Enseignement secondaire;Cantine collége;04;10;02;041002;261;<5000m2;enseignement;P>=30kW;1;0,3;3;0,519946946895745;0,222834405812462;1;1;135,70615313979;58,1597799170527;261;261;0,189569229199532;0,0812439553712281;0,36459340771462;0,36459340771462;0,0812439553712281;0,27081318457076;1
Enseignement Recherche;Enseignement secondaire;Cantine LEGT;04;10;04;041004;385;<5000m2;enseignement;P>=30kW;1;0,3;3;0,428103640807606;0,183472988917545;1;1;164,819901710928;70,6371007332549;385;385;0,163925360617376;0,0702537259788752;0,382910456701875;0,382910456701875;0,0702537259788752;0,234179086596251;1
Enseignement Recherche;Enseignement secondaire;Cantine LP;04;10;05;041005;124;<5000m2;enseignement;P<30kW;1;0,3;3;0,754342268512455;0,323289543648195;1;1;93,5384412955444;40,0879034123762;124;124;0,24510478008832;0,105044905752137;0,324925157079771;0,324925157079771;0,105044905752137;0,350149685840457;1
Enseignement Recherche;Enseignement secondaire;Collège;04;10;08;041008;6222;5000<S<10000;enseignement;P>=30kW;2;0,3;3;0,150601494112541;0,0645434974768031;0,5;0,5;937,042496368228;401,589641300669;3111;3111;0,123937057021946;0,053115881580834;0,41147353069861;0,41147353069861;0,053115881580834;0,17705293860278;1
Enseignement Recherche;Enseignement secondaire;Internat college;04;10;46;041046;129;<5000m2;enseignement;P<30kW;3;0,3;3;1,28098799079388;0,548994853197377;0,333333333333333;0,333333333333333;165,24745081241;70,8203360624616;43;43;0,513082827735925;0,219892640458253;0,133512265902911;0,133512265902911;0,219892640458253;0,732975468194178;1
Enseignement Recherche;Enseignement secondaire;Internat LEGT;04;10;47;041047;299;<5000m2;enseignement;P>=30kW;3;0,3;3;0,841403509750664;0,360601504178856;0,333333333333333;0,333333333333333;251,579649415448;107,819849749478;99,6666666666667;99,6666666666667;0,450268240530204;0,192972103084373;0,178379828192712;0,178379828192712;0,192972103084373;0,643240343614577;1
Enseignement Recherche;Enseignement secondaire;Internat LP;04;10;48;041048;259;<5000m2;enseignement;P>=30kW;3;0,3;3;0,904044964201061;0,387447841800455;0,333333333333333;0,333333333333333;234,147645728075;100,348991026318;86,3333333333333;86,3333333333333;0,461680969716533;0,197863272735657;0,170227878773905;0,170227878773905;0,197863272735657;0,65954424245219;1
Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);04;10;49;041049;10257;5000<S<10000;enseignement;P>=30kW;3;0,3;3;0,143657973455124;0,0615677029093389;0,333333333333333;0,333333333333333;1473,49983372921;631,499928741089;3419;3419;0,164765724350437;0,0706138818644731;0,382310196892545;0,382310196892545;0,0706138818644731;0,23537960621491;1
Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);04;10;50;041050;6850;5000<S<10000;enseignement;P>=30kW;3;0,3;3;0,175790186816619;0,0753386514928368;0,333333333333333;0,333333333333333;1204,16277969384;516,069762725932;2283,33333333333;2283,33333333333;0,191535244903158;0,0820865335299249;0,363189110783459;0,363189110783459;0,0820865335299249;0,273621778433083;1
Enseignement Recherche;Enseignement supérieur et recherche;école;04;11;10;041110;2927;<5000m2;enseignement;P>=30kW;2;0,3;3;0,219575015801112;0,0941035782004768;0,5;0,5;642,696071249856;275,441173392795;1463,5;1463,5;0,167145157730146;0,0716336390272056;0,380610601621324;0,380610601621324;0,0716336390272056;0,238778796757352;1
Enseignement Recherche;Enseignement supérieur et recherche;R&D en sciences humaines et sociales;04;11;87;041187;785;<5000m2;enseignement;P>=30kW;2;0,5;3;0,302852679075041;0,302852679075041;0,5;0,5;237,739353073907;237,739353073907;392,5;392,5;0,188610368357963;0,188610368357963;0,311389631642037;0,311389631642037;0,188610368357963;0,377220736715925;1
Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;04;11;88;041188;717;<5000m2;enseignement;P>=30kW;2;0,5;3;0,316888639811908;0,316888639811908;0,5;0,5;227,209154745138;227,209154745138;358,5;358,5;0,19396073367165;0,19396073367165;0,30603926632835;0,30603926632835;0,19396073367165;0,3879214673433;1
Enseignement Recherche;Enseignement supérieur et recherche;université;04;11;94;041194;14727;5000<S<10000;enseignement;P>=30kW;3;0,3;3;0,11988994749812;0,051381406070623;0,333333333333333;0,333333333333333;1765,61925680482;756,693967202065;4909;4909;0,143077345344037;0,0613188622903015;0,397801896182831;0,397801896182831;0,0613188622903015;0,204396207634338;1
