SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
Modeste bati;Transport;Transport ferroviaire;nr;1981-1998;1981-1998;Electricité;2120203,20727701;35907,9022268746;35907,9022268746;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport maritime et fluvial;nr;1999-2008;1999-2008;Gaz;200220,531977904;1058,7739738197;1509,3398421133;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport aérien;nr;Av 1980;Av 1980;Urbain;39614383,5905193;228079,007293318;264496,780896615;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;école;2000-2007;1999-2008;Fioul;128144,534619141;24519,4992597794;13613,7249644475;429091,23704614;551688,733345038;3150453,82965357;4331874,01577366;984516,821766742;1260181,53186143;980779,970391179;1103377,46669007
Modeste bati;Transport;Transport autre;nr;1999-2008;1999-2008;Urbain;9541,93825956;60,7281227443;60,7281227443;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement primaire;Cantine élémentaire;1981-1999;1981-1998;Electricité;4791649,4462747;65065,5635476548;53004,7962859989;2277294,72416791;2927950,35964446;9259212,43450229;12731417,0974406;2893503,88578196;3703684,97380091;5205245,08381238;5855900,71928893
BBC renovation;Enseignement Recherche;Enseignement primaire;Elémentaire;avant 1960;Av 1980;Autres;676581,133243967;55567,3456670615;55567,3456670615;786659,504400296;1011419,36280038;2938123,40909179;3629446,56417221;1774396,09600228;2419631,04000311;561899,646000212;786659,504400296
Maximal;Commerce;Commerce de détail non alimentaire;Complexe brico;1999-2008;1999-2008;Electricité;4202753,77805628;420304,394219344;128537,804278103;4903551,26589235;6304565,91329016;10787812,6308515;13239588,2287723;11313193,2644277;12504055,7133148;15411161,1213759;16812175,7687737
BBC renovation;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;Av 1980;Av 1980;Gaz;7136735,85432125;430832,678383392;1047122,56494265;0;0;74645750,6958584;87086709,1451681;20541144,6830922;25105843,5015572;8616653,56766784;9693735,26362632
BBC renovation;Commerce;Commerce de détail non alimentaire;Grand librairie;Av 1980;Av 1980;Gaz;21484033,6867834;925856,636223358;885403,556488366;0;0;73759912,1425751;110639868,213862;11141141,5102096;13926426,887762;4629283,18111679;7715471,96852799
Modeste bati;Santé Action Sociale;Hôpital;Hopital bloc;1916-1948;Av 1980;Fioul;99787689,5216666;887660,627678736;658424,653539651;0;0;17415766,5906414;24382073,2268979;0;0;0;0
