"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Santé Action Sociale;Hopital maison;Electrique direct;Electricité;-3.11795;14.12696
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Electrique direct;Electricité;0.509467;9.044303
Enseignement Recherche;université;Chaudière fioul;Fioul;3.413084;7.194566
Habitat Communautaire;Foyers;Autre système centralisé performant;Urbain;9.05916;6.56854
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Rooftop;Electricité;6.87242;14.02618
Sport Loisir Culture;Grand cinéma;PAC performant;Electricité;7.867143;6.287287
Commerce;Grand alimentaire;Autre système centralisé;Urbain;7.026535;7.558765
Sport Loisir Culture;Piscine;Autre système centralisé performant;Autres;5.175234;8.553476
Commerce;Petit boulangerie;Autre système centralisé;Autres;7.82505;12.17876
Santé Action Sociale;Centre accueil;Chaudière gaz;Gaz;5;4.496311
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Autre système centralisé performant;Urbain;3.54996;11.22146
Café Hôtel Restaurant;Petite cantine;Autre système centralisé performant;Autres;25.98598;21.80098
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;PAC;Electricité;-1.30893;18.08098
Enseignement Recherche;Internat college;Electrique direct performant;Electricité;0.09061;12.59131
Café Hôtel Restaurant;Grand bar café tabac;Autre système centralisé performant;Autres;11.78536;9.890905
Sport Loisir Culture;Grande salle multisport;Electrique direct;Electricité;3.244637;5.719543
Sport Loisir Culture;Musée;Autre système centralisé performant;Urbain;4.085323;8.529947
Enseignement Recherche;Collège;Autre système centralisé;Urbain;3.573128;7.966432
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Autre système centralisé;Autres;4.14645;19.66729
Commerce;Petit brico;PAC performant;Electricité;-0.11467;18.29382
Café Hôtel Restaurant;Grande cantine;Electrique direct;Electricité;2.2884;11.08359
Habitat Communautaire;Maison retraite médicalisée;Electrique direct performant;Electricité;1.56623;10.58332
Enseignement Recherche;Cantine préélémentaire;Chaudière gaz;Gaz;5;13.45511
Café Hôtel Restaurant;Grand restaurant traditionnel;Chaudière condensation gaz;Gaz;8.388382;7.086628
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;PAC;Electricité;-1.93469;22.83329
Enseignement Recherche;université;Autre système centralisé;Urbain;2.235497;8.771443
Commerce;Petit commerce de gros;Electrique direct performant;Electricité;1.73867;10.21787
Commerce;Complexe brico;Rooftop;Electricité;3.401588;6.846622
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé performant;Autres;10.18816;8.823335
Commerce;Grand process;Chaudière gaz;Gaz;5.000001;6.292999
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Chaudière gaz;Gaz;4.999999;5.238371
Commerce;Superette;Electrique direct;Electricité;1.23363;12.32443
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Electrique direct performant;Electricité;2.553;15.53434
Bureaux Administration;plateau mince;Chaudière fioul;Fioul;-0.16653;12.50643
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Electrique direct;Electricité;0.500214;8.678197
Enseignement Recherche;Cantine élémentaire;Autre système centralisé;Urbain;-5.61879;25.02477
Bureaux Administration;plateau large bureau paysagés;Chaudière gaz;Gaz;5;3.800897
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière condensation gaz;Gaz;7.688273;4.309777
Sport Loisir Culture;Grande salle de spectacle;Autre système centralisé;Autres;4.836143;6.681877
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Electrique direct;Electricité;1.150093;9.832547
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Chaudière gaz;Gaz;5;11.50677
Bureaux Administration;immeuble rénové;Autre système centralisé performant;Urbain;4.49682;12.32302
Commerce;Petit process;Electrique direct performant;Electricité;3.79232;13.09626
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chaudière fioul;Fioul;-0.86148;13.49308
Sport Loisir Culture;Grande salle de spectacle;Chaudière condensation fioul;Fioul;3.81944;4.638329
Enseignement Recherche;Elémentaire;Chaudière fioul;Fioul;-0.91268;11.28265
Sport Loisir Culture;Salle non spécialisée;Chaudière gaz;Gaz;5.000001;8.754839
