"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Enseignement Recherche;Cantine LP;Electrique direct;Electricité;-9.58342;32.0683
Santé Action Sociale;Cabinet médical;Chaudière gaz;Gaz;5;3.42695
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Chaudière fioul;Fioul;-2.81827;16.95555
Commerce;Grand commerce de gros;Chaudière fioul;Fioul;1.483179;8.977611
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Autre système centralisé;Autres;7.411111;8.187679
Sport Loisir Culture;Grande salle de spectacle;Electrique direct;Electricité;1.269796;6.571658
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;PAC;Electricité;0.11768;19.31152
Sport Loisir Culture;Patinoire;Tube radiant;Gaz;5.195069;3.600446
Enseignement Recherche;Préélémentaire;PAC performant;Electricité;2.35508;15.4778
Habitat Communautaire;Foyers;Chaudière gaz;Gaz;4.999998;5.333892
Enseignement Recherche;Lycée professionnel (LP);Autre système centralisé;Urbain;3.014551;8.619009
Commerce;Petit process;Autre système centralisé performant;Autres;15.0436;9.965981
Santé Action Sociale;Centre accueil;Autre système centralisé performant;Urbain;4.80013;9.91935
Café Hôtel Restaurant;Grande cantine;Chaudière condensation fioul;Fioul;3.24904;12.08022
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Chaudière gaz;Gaz;5.000004;5.517836
Bureaux Administration;plateau large bureaux cloisonnés;Electrique direct performant;Electricité;0.93149;11.21664
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Electrique direct;Electricité;-1.3922;12.06997
Sport Loisir Culture;Patinoire;Autre système centralisé;Autres;3.537531;7.034479
Enseignement Recherche;Cantine LEGT;Chaudière condensation fioul;Fioul;-1.2771;30.57592
Commerce;Hypermarché;Rooftop;Electricité;2.70233;10.63788
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Electrique direct performant;Electricité;2.66994;16.78532
Sport Loisir Culture;Grand bar café tabac;Electrique direct performant;Electricité;1.7174;12.00967
Sport Loisir Culture;Musée;Chaudière gaz;Gaz;5.000002;6.024928
