"COD_BRANCHE";"COD_BAT_TYPE";"COD_PRODUCTION_CHAUD";"COD_ENERGIE";"ANNEE";"SURFACES";"BESOIN";"CONSOMMATION_EF"
"01";"45";"21";"01";"2010";8466.2493;924155.4544999999;1199890.2442
"01";"45";"21";"06";"2010";21177.3819;2311672.1824000003;2954591.8944999995
"01";"45";"23";"03";"2010";4040.5675;441058.6511;613774.9491
"01";"45";"24";"04";"2010";78242.5866;8540772.971100003;9003556.330000002
"01";"45";"26";"02";"2010";149077.467;16272938.5118;16272937.880999997
"01";"83";"01";"01";"2010";237552.746;15992781.3831;23937705.7176
"01";"83";"01";"06";"2010";1248966.5040000002;81074507.1308;118825299.14069998
"01";"83";"03";"03";"2010";1649505.6820000003;120522725.83690001;217275516.11270002
"01";"83";"04";"04";"2010";6189685.1685999995;445288931.7282001;608152100.5626
"01";"83";"06";"02";"2010";1154369.2141000002;78790434.1193;85641784.37689999
"01";"83";"09";"02";"2010";3751470.6902;284948780.97300005;96760098.56030001
"01";"83";"21";"01";"2010";6406.9276;197379.4359;256037.6941
"01";"83";"21";"06";"2010";16628.3094;512271.4869;650668.7788
"01";"83";"23";"03";"2010";4980.1963;153425.8536;211563.524
"01";"83";"24";"04";"2010";191138.0336;10144495.2239;10596986.615600001
"01";"83";"26";"02";"2010";39413.498;1214219.1213999998;1214219.0521
"01";"83";"29";"02";"2010";5052.5377;155654.4889;45807.6784
"01";"84";"01";"01";"2010";1190428.9638000003;100391291.40550001;151970900.2181
"01";"84";"01";"06";"2010";5238634.010599999;474722691.9074;700068085.6756
"01";"84";"03";"03";"2010";6759216.222900001;627186672.5023;1130677289.9351
"01";"84";"04";"04";"2010";24036612.6114;2284107764.8081994;3119513417.3056993
"01";"84";"06";"02";"2010";4978830.682500002;418851472.11920005;455273290.0826001
"01";"84";"09";"02";"2010";14184732.964300003;1394874119.9280002;473657579.5196001
"01";"84";"21";"01";"2010";25398.9175;1029877.3387;1351991.5049000003
"01";"84";"21";"06";"2010";100827.288;4088352.9399999995;5223617.609999999
"01";"84";"23";"03";"2010";11315.5488;458823.7779;632663.1893000001
"01";"84";"24";"04";"2010";482197.8941999999;34132060.9082;35654508.52200001
"01";"84";"26";"02";"2010";153564.9517;6226763.946499999;6226763.912999999
"01";"84";"29";"02";"2010";90758.7443;3680092.8245999995;1083017.3511
"01";"85";"01";"01";"2010";224435.6919;20987073.991199996;31091962.316199996
"01";"85";"01";"06";"2010";1425818.6940999997;141099671.15089998;207958246.07730004
"01";"85";"03";"03";"2010";1334715.7959;134411957.2548;242314701.3473
"01";"85";"04";"04";"2010";6245631.3154;661302541.5645998;903172042.6531001
"01";"85";"06";"02";"2010";1114397.6460999998;109250697.86;118750756.96519998
"01";"85";"09";"02";"2010";3888812.3762;425973997.5413;144648039.3823
"01";"85";"21";"01";"2010";6009.0457;317472.4262;407643.0894
"01";"85";"21";"06";"2010";17750.5843;937806.3250000001;1197862.1803000004
"01";"85";"23";"03";"2010";3937.7811;208042.5049;286836.5
"01";"85";"24";"04";"2010";155097.5881;11597174.287500001;12113195.5869
"01";"85";"26";"02";"2010";54993.4609;2905437.6232999996;2905437.260599999
"01";"85";"29";"02";"2010";5666.882;299395.09;88109.2073
"02";"16";"01";"01";"2010";69451.5587;7645292.7915;10387626.1531
"02";"16";"01";"06";"2010";147432.2499;15997349.230800001;22856621.058300003
"02";"16";"03";"03";"2010";569201.5068;52310167.507;91707866.086
"02";"16";"04";"04";"2010";1034088.5136;94836420.36339998;138225352.69
"02";"16";"06";"02";"2010";177956.7555;14323460.5553;15568978.8253
"02";"16";"09";"02";"2010";73343.6902;6864987.6702000005;2331144.6245999997
"02";"16";"10";"02";"2010";109451.4832;9344229.8067;3332345.08
"02";"16";"21";"01";"2010";548.2915;33472.1215;39411.43
