annee;branche;periodeSimple;energieChauffage;systeme_chauff;surface
2011;04;01;03;03;1.1020263553600006E7
2011;04;01;04;04;3.4198508491E7
2011;04;01;04;24;207854.39139999996
2011;04;01;06;01;3413725.8564
2011;04;02;01;01;925310.6942000001
2011;04;02;02;06;1619396.6137000003
2011;04;02;02;09;856583.18
2011;04;02;03;03;4412581.5388
2011;04;02;04;04;1.3926781537299998E7
2011;04;02;04;24;164141.1062
2011;04;02;06;01;1982000.7086999998
2011;04;03;01;01;3895883.8348999987
2011;04;03;02;06;4981668.7926
2011;04;03;02;09;3871479.433499999
2011;04;03;02;26;3.7704
2011;04;03;03;03;2.08480455098E7
2011;04;03;04;04;5.8142106267200015E7
2011;04;03;04;24;1121696.1827999998
2011;04;03;06;01;5591717.364199998
2011;04;04;01;01;42620.72329999999
2011;04;04;01;21;433.8655
2011;04;04;02;06;728253.8094000004
2011;04;04;02;09;230880.9616
2011;04;04;02;26;264309.59590000013
2011;04;04;02;29;3803.5654999999997
2011;04;04;03;03;13742.235100000002
2011;04;04;04;04;1516342.7440000002
2011;04;04;04;24;271065.3139
2011;04;04;06;01;44927.43259999999
2011;04;04;06;21;2625.8987
2011;05;01;01;01;1741064.8121
2011;05;01;02;06;3025599.2504000007
2011;05;01;02;09;812559.0632
2011;05;01;03;03;5856907.6609000005
2011;05;01;04;04;9470602.190500002
2011;05;01;06;01;811133.6577999998
2011;05;02;01;01;576894.9406000001
2011;05;02;02;06;1061786.5824
2011;05;02;02;09;286369.2016
2011;05;02;03;03;2160568.3558
2011;05;02;04;04;3862436.5558000007
2011;05;02;06;01;415830.7404
2011;05;03;01;01;3320752.8070000005
2011;05;03;02;06;4276651.906199999
2011;05;03;02;09;1363251.8009000004
2011;05;03;03;03;8607226.421799999
2011;05;03;04;04;1.4778634821300004E7
2011;05;03;06;01;1450184.6680000003
2011;05;04;01;01;237736.79939999996
2011;05;04;01;21;4769.7137
2011;05;04;02;06;39323.0238
2011;05;04;02;09;190685.29549999995
2011;05;04;02;26;21819.236599999997
2011;05;04;02;29;10795.897599999998
2011;05;04;04;04;291201.80259999994
2011;05;04;04;24;66014.3359
2011;05;04;06;01;282921.20560000004
2011;05;04;06;21;43758.31509999999
2011;06;01;01;01;708406.6164
2011;06;01;02;06;2929047.0443
2011;06;01;02;09;1649951.461
2011;06;01;03;03;5514980.3444
2011;06;01;04;04;1.5754711829399997E7
2011;06;01;04;24;142551.339
2011;06;01;06;01;2309892.2713
2011;06;02;01;01;279495.03979999997
2011;06;02;02;06;2106155.1196
2011;06;02;02;09;1212130.4014
2011;06;02;03;03;2937684.3932999996
2011;06;02;04;04;9314949.339100001
2011;06;02;04;24;87001.2934
2011;06;02;06;01;1110686.6532
2011;06;03;01;01;1262721.8624
2011;06;03;02;06;4308998.4778
2011;06;03;02;09;3880316.9783000005
2011;06;03;03;03;1.1109282013899999E7
2011;06;03;04;04;3.2598530132199995E7
2011;06;03;04;24;846998.1558000001
2011;06;03;06;01;5078861.6153
2011;06;04;01;01;38007.62469999999
2011;06;04;02;06;123122.56559999999
2011;06;04;02;09;481928.433
2011;06;04;02;26;42286.68779999999
2011;06;04;02;29;29277.937
2011;06;04;04;04;1823678.0215999999
2011;06;04;04;24;599405.2223
2011;06;04;06;01;8157.798299999999
2011;07;01;01;01;1734277.4757
2011;07;01;01;21;105248.1842
2011;07;01;02;02;1551009.2896
2011;07;01;02;05;258151.87629999997
2011;07;01;02;06;2233423.8708999986
2011;07;01;02;09;1284010.6503
2011;07;01;02;10;742662.081
2011;07;01;02;29;3350.6061
2011;07;01;02;30;231781.04779999994
2011;07;01;03;03;2464078.9217000003
2011;07;01;04;04;6641623.3719
2011;07;01;04;11;2984046.057
2011;07;01;04;31;302297.0383
2011;07;01;06;01;988634.4948999999
2011;07;02;01;01;1189082.5076999997
2011;07;02;01;21;81098.8669
2011;07;02;02;02;873426.7596
2011;07;02;02;05;359758.58819999994
2011;07;02;02;06;1454137.1304000004
2011;07;02;02;09;646077.2046999999
2011;07;02;02;10;506985.03739999986
2011;07;02;02;29;3602.0183
2011;07;02;02;30;101978.7434
2011;07;02;03;03;1871706.2383999994
2011;07;02;04;04;4718799.0984
2011;07;02;04;11;1934830.9144999997
2011;07;02;04;31;166934.9433
2011;07;02;06;01;625650.3333999998
2011;07;03;01;01;2588960.3155000014
2011;07;03;01;21;325176.09870000003
2011;07;03;02;02;1767153.4822
2011;07;03;02;05;857370.0182
2011;07;03;02;06;2769311.7315000007
2011;07;03;02;09;2858799.8164000004
2011;07;03;02;10;688938.6701000001
2011;07;03;02;25;91.9965
2011;07;03;02;29;1808.7988
2011;07;03;02;30;689753.9167
2011;07;03;03;03;5227207.9213000005
2011;07;03;04;04;8022815.3944
2011;07;03;04;11;3099669.7616000003
2011;07;03;04;24;4813.213500000001
2011;07;03;04;31;437226.42230000003
2011;07;03;06;01;2765514.5338999997
2011;07;04;01;01;2274.5489999999995
2011;07;04;01;21;68494.53489999998
2011;07;04;02;02;31425.5636
2011;07;04;02;05;23986.848
2011;07;04;02;06;69430.90940000002
2011;07;04;02;09;56472.480599999995
2011;07;04;02;10;397176.64340000006
2011;07;04;02;22;13617.107899999995
2011;07;04;02;25;29.788400000000003
2011;07;04;02;26;15479.698599999996
2011;07;04;02;29;3702.6744999999996
2011;07;04;02;30;189508.24570000003
2011;07;04;03;03;1.2834
2011;07;04;04;04;15623.190499999997
2011;07;04;04;11;190388.2289
2011;07;04;04;24;2036.1536
2011;07;04;04;31;105723.23559999999
2011;07;04;06;01;828.3576
2011;07;04;06;21;4574.1885
2011;08;01;01;08;40165.08
2011;08;01;02;08;210542.9373
2011;08;01;03;08;199452.0608
2011;08;01;04;08;582881.0552
2011;08;01;06;08;67894.0349
2011;08;02;01;08;29977.749499999998
2011;08;02;02;08;182704.44169999997
2011;08;02;03;08;140819.612
2011;08;02;04;08;529461.4561
2011;08;02;06;08;14832.5322
2011;08;03;01;08;927387.9049
2011;08;03;02;08;5450337.5757
2011;08;03;03;08;4990276.583
2011;08;03;04;08;1.04696980768E7
2011;08;03;06;08;986749.2551000001
2011;08;04;01;08;59565.36279999999
2011;08;04;02;08;6378.1221000000005
2011;08;04;03;08;6724.920400000002
2011;08;04;04;08;338052.39799999987
2011;08;04;06;08;42860.54340000001
2012;01;01;01;01;1072657.0375
2012;01;01;02;05;995395.1946000003
2012;01;01;02;06;1.1910397041199999E7
2012;01;01;02;09;6533529.404300001
2012;01;01;02;26;122990.28719999999
2012;01;01;03;03;5498836.445900001
2012;01;01;04;04;2.2047311791300006E7
2012;01;01;04;24;686.4524
2012;01;01;06;01;3717351.380800001
2012;01;02;01;01;792013.3015999999
2012;01;02;02;05;825580.4381999999
2012;01;02;02;06;9034899.338
